business_id,users
noCfW7m3z-S1p8KwFIvj2Q,"[{'name': 'Joe', 'yelping_since': '5/27/2016 4:50', 'review_count': '5'}, {'name': 'Amanda', 'yelping_since': '3/4/2011 22:21', 'review_count': '11'}, {'name': 'Debra', 'yelping_since': '3/12/2012 22:44', 'review_count': '5'}, {'name': 'Scott', 'yelping_since': '3/12/2014 21:50', 'review_count': '13'}, {'name': 'Teresa', 'yelping_since': '6/23/2015 12:22', 'review_count': '105'}, {'name': 'Teresa', 'yelping_since': '6/23/2015 12:22', 'review_count': '105'}, {'name': 'Leslie', 'yelping_since': '2/13/2014 2:52', 'review_count': '7'}, {'name': 'Seth', 'yelping_since': '6/8/2018 1:10', 'review_count': '1'}, {'name': 'Josh', 'yelping_since': '6/30/2011 3:07', 'review_count': '88'}, {'name': 'Erika', 'yelping_since': '2/8/2013 20:43', 'review_count': '11'}]"
x8_NelKV1JY5S5bN7mWJuQ,"[{'name': 'Jane', 'yelping_since': '2/6/2009 21:30', 'review_count': '6'}, {'name': 'Caleb', 'yelping_since': '7/28/2013 0:47', 'review_count': '37'}, {'name': 'Steven', 'yelping_since': '3/11/2010 1:50', 'review_count': '431'}, {'name': 'Joe', 'yelping_since': '3/2/2010 13:04', 'review_count': '218'}, {'name': 'Lyndsay', 'yelping_since': '5/24/2008 0:06', 'review_count': '40'}, {'name': 'January', 'yelping_since': '2/9/2013 16:15', 'review_count': '148'}, {'name': 'Greg', 'yelping_since': '8/29/2006 0:34', 'review_count': '124'}, {'name': 'Rose', 'yelping_since': '7/3/2011 5:06', 'review_count': '616'}, {'name': 'Tabitha', 'yelping_since': '9/23/2010 17:18', 'review_count': '17'}, {'name': 'Amber', 'yelping_since': '7/13/2015 22:04', 'review_count': '23'}]"
kJhQq1BFz7lOYLve7xPaJQ,"[{'name': 'Shaun', 'yelping_since': '8/31/2009 19:55', 'review_count': '8'}, {'name': 'Kaitlan', 'yelping_since': '5/1/2015 16:53', 'review_count': '282'}, {'name': 'Brandi', 'yelping_since': '4/17/2015 3:23', 'review_count': '3'}, {'name': 'Scott', 'yelping_since': '3/12/2014 21:50', 'review_count': '13'}, {'name': 'Lynne', 'yelping_since': '6/15/2011 3:39', 'review_count': '13'}, {'name': 'Ondrea', 'yelping_since': '1/30/2016 19:53', 'review_count': '123'}, {'name': 'Ashley', 'yelping_since': '3/3/2012 16:28', 'review_count': '38'}, {'name': 'Tammy', 'yelping_since': '7/23/2011 17:32', 'review_count': '23'}, {'name': 'Brianne', 'yelping_since': '8/19/2015 17:03', 'review_count': '2'}, {'name': 'Alena', 'yelping_since': '10/28/2018 15:55', 'review_count': '1'}]"
TmByhkKxWQa2Bfvyk3Aqxg,"[{'name': 'Kristin', 'yelping_since': '7/28/2016 2:08', 'review_count': '73'}, {'name': 'Carrie', 'yelping_since': '5/26/2016 8:39', 'review_count': '7'}, {'name': 'James', 'yelping_since': '11/6/2018 3:25', 'review_count': '11'}, {'name': 'Adam', 'yelping_since': '1/13/2017 18:13', 'review_count': '1'}, {'name': 'Will', 'yelping_since': '6/8/2012 23:44', 'review_count': '5'}, {'name': 'Anthony Nalli', 'yelping_since': '12/19/2015 2:33', 'review_count': '619'}, {'name': 'Aracely', 'yelping_since': '11/11/2012 2:00', 'review_count': '8'}, {'name': 'Tom', 'yelping_since': '5/11/2016 20:57', 'review_count': '8'}, {'name': 'Nicole', 'yelping_since': '8/20/2007 17:15', 'review_count': '158'}, {'name': 'Dolores', 'yelping_since': '7/25/2017 0:46', 'review_count': '470'}]"
7m1Oa1VYV98UUuo_6i0EZg,"[{'name': 'Kristin', 'yelping_since': '7/28/2016 2:08', 'review_count': '73'}, {'name': 'Jen', 'yelping_since': '3/20/2016 23:12', 'review_count': '50'}, {'name': 'W', 'yelping_since': '6/30/2012 14:56', 'review_count': '27'}, {'name': 'Chris', 'yelping_since': '8/19/2010 16:09', 'review_count': '33'}, {'name': 'Rebecca', 'yelping_since': '1/10/2012 23:22', 'review_count': '1'}, {'name': 'Katie', 'yelping_since': '10/30/2016 16:41', 'review_count': '8'}, {'name': 'Natalie', 'yelping_since': '1/21/2012 19:06', 'review_count': '20'}, {'name': 'Steve', 'yelping_since': '10/9/2011 1:50', 'review_count': '16'}, {'name': 'Scott', 'yelping_since': '7/3/2013 21:02', 'review_count': '15'}, {'name': 'Jason', 'yelping_since': '3/10/2018 22:59', 'review_count': '16'}]"
tI7dXg2UboJozj28v7sjLw,"[{'name': 'Kristin', 'yelping_since': '7/28/2016 2:08', 'review_count': '73'}, {'name': 'Lynn', 'yelping_since': '11/12/2013 16:18', 'review_count': '35'}, {'name': 'Steve', 'yelping_since': '8/3/2014 1:38', 'review_count': '34'}, {'name': 'K', 'yelping_since': '1/22/2012 9:33', 'review_count': '9'}, {'name': 'Sabrina', 'yelping_since': '7/7/2013 21:54', 'review_count': '31'}, {'name': 'Daniel', 'yelping_since': '12/9/2015 18:49', 'review_count': '27'}, {'name': 'Data', 'yelping_since': '3/7/2015 19:35', 'review_count': '23'}, {'name': 'Chi', 'yelping_since': '7/13/2016 2:45', 'review_count': '58'}, {'name': 'Steven', 'yelping_since': '2/9/2012 17:38', 'review_count': '62'}, {'name': 'Paula', 'yelping_since': '6/17/2011 14:35', 'review_count': '639'}]"
APXWKd1N-COyUdncd_FdyQ,"[{'name': 'Kristin', 'yelping_since': '7/28/2016 2:08', 'review_count': '73'}, {'name': 'C', 'yelping_since': '2/22/2014 22:13', 'review_count': '66'}, {'name': 'M', 'yelping_since': '4/3/2014 23:32', 'review_count': '12'}, {'name': 'Steve', 'yelping_since': '6/6/2015 4:31', 'review_count': '4'}, {'name': 'Gary', 'yelping_since': '4/7/2013 15:40', 'review_count': '16'}, {'name': 'Adrian', 'yelping_since': '9/20/2014 22:52', 'review_count': '11'}, {'name': 'Deb', 'yelping_since': '10/8/2015 16:29', 'review_count': '6'}, {'name': 'Kym', 'yelping_since': '6/19/2013 19:38', 'review_count': '18'}, {'name': 'Johnny', 'yelping_since': '1/24/2018 5:54', 'review_count': '8'}, {'name': 'Travi', 'yelping_since': '2/20/2013 22:17', 'review_count': '2'}]"
9o-DUVGYaoKkqnCP5BT_NA,"[{'name': 'Kristin', 'yelping_since': '7/28/2016 2:08', 'review_count': '73'}, {'name': 'Kristen', 'yelping_since': '1/16/2014 21:10', 'review_count': '27'}, {'name': 'Meg', 'yelping_since': '10/17/2016 5:25', 'review_count': '16'}, {'name': 'Danny', 'yelping_since': '5/3/2011 19:47', 'review_count': '1'}, {'name': 'Christopher', 'yelping_since': '2/27/2014 2:13', 'review_count': '2'}, {'name': 'Steve', 'yelping_since': '1/13/2012 22:00', 'review_count': '5'}, {'name': 'Ryan', 'yelping_since': '1/2/2013 17:26', 'review_count': '88'}, {'name': 'Eric', 'yelping_since': '5/16/2015 1:35', 'review_count': '2'}, {'name': 'Donna', 'yelping_since': '3/25/2013 20:10', 'review_count': '202'}, {'name': 'Meg', 'yelping_since': '6/5/2014 0:23', 'review_count': '5'}]"
Dj4AepxMBS-5DUvPegSb2g,"[{'name': 'Kristin', 'yelping_since': '7/28/2016 2:08', 'review_count': '73'}, {'name': 'Alex', 'yelping_since': '6/27/2017 19:45', 'review_count': '2'}, {'name': 'Scott', 'yelping_since': '11/4/2007 23:34', 'review_count': '18'}, {'name': 'todd', 'yelping_since': '9/21/2011 8:44', 'review_count': '22'}, {'name': 'Mackenzie', 'yelping_since': '7/11/2015 16:07', 'review_count': '2'}, {'name': 'Joe', 'yelping_since': '12/7/2015 4:36', 'review_count': '22'}, {'name': 'Josh', 'yelping_since': '9/14/2015 22:06', 'review_count': '8'}, {'name': 'John', 'yelping_since': '9/22/2010 17:45', 'review_count': '425'}, {'name': 'Guadalupe', 'yelping_since': '5/22/2015 23:04', 'review_count': '39'}, {'name': 'Andrew', 'yelping_since': '8/15/2014 1:34', 'review_count': '11'}]"
E4JyAzB5_2quptwtemyhYA,"[{'name': 'Kristin', 'yelping_since': '7/28/2016 2:08', 'review_count': '73'}, {'name': 'Susie', 'yelping_since': '1/2/2015 18:41', 'review_count': '23'}, {'name': 'Kaitlan', 'yelping_since': '5/1/2015 16:53', 'review_count': '282'}, {'name': 'Tu', 'yelping_since': '7/16/2011 21:10', 'review_count': '24'}, {'name': 'Heather', 'yelping_since': '6/18/2013 22:20', 'review_count': '7'}, {'name': 'Jeff', 'yelping_since': '3/29/2012 21:48', 'review_count': '1'}, {'name': 'Susan', 'yelping_since': '4/1/2013 4:06', 'review_count': '20'}, {'name': 'Becca', 'yelping_since': '4/19/2010 15:33', 'review_count': '205'}, {'name': 'Kimberly', 'yelping_since': '2/16/2012 16:25', 'review_count': '14'}, {'name': 'Jen', 'yelping_since': '7/2/2012 4:14', 'review_count': '4'}]"
